cnt: 241, current best arch: {'normal': [('skip_connect', 0), ('max_pool_3x3', 1), ('conv_7x1_1x7', 0), ('dil_conv_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 0), ('dil_conv_5x5', 1), ('sep_conv_7x7', 2), ('skip_connect', 3), ('skip_connect', 0), ('avg_pool_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 3), ('skip_connect', 4)], 'reduction': [('avg_pool_3x3', 0), ('conv_7x1_1x7', 1), ('max_pool_3x3', 0), ('sep_conv_3x3', 1), ('sep_conv_7x7', 2), ('sep_conv_5x5', 0), ('sep_conv_7x7', 1), ('dil_conv_3x3', 2), ('dil_conv_5x5', 3), ('sep_conv_3x3', 0), ('skip_connect', 1), ('sep_conv_3x3', 2), ('max_pool_3x3', 3), ('conv_7x1_1x7', 4)], 'normal_concat': [3, 4, 5, 3], 'reduction_concat': [4, 4, 5, 5]}, value: 4434416063861.87
cnt: 261, current best arch: {'normal': [('skip_connect', 0), ('max_pool_3x3', 1), ('conv_7x1_1x7', 0), ('dil_conv_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 0), ('dil_conv_5x5', 1), ('sep_conv_7x7', 2), ('skip_connect', 3), ('skip_connect', 0), ('avg_pool_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 3), ('skip_connect', 4)], 'reduction': [('avg_pool_3x3', 0), ('conv_7x1_1x7', 1), ('max_pool_3x3', 0), ('sep_conv_3x3', 1), ('sep_conv_7x7', 2), ('sep_conv_5x5', 0), ('sep_conv_7x7', 1), ('dil_conv_3x3', 2), ('dil_conv_5x5', 3), ('sep_conv_3x3', 0), ('skip_connect', 1), ('sep_conv_3x3', 2), ('max_pool_3x3', 3), ('conv_7x1_1x7', 4)], 'normal_concat': [3, 4, 5, 3], 'reduction_concat': [4, 4, 5, 5]}, value: 4434416063861.87
cnt: 281, current best arch: {'normal': [('skip_connect', 0), ('max_pool_3x3', 1), ('conv_7x1_1x7', 0), ('dil_conv_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 0), ('dil_conv_5x5', 1), ('sep_conv_7x7', 2), ('skip_connect', 3), ('skip_connect', 0), ('avg_pool_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 3), ('skip_connect', 4)], 'reduction': [('avg_pool_3x3', 0), ('conv_7x1_1x7', 1), ('max_pool_3x3', 0), ('sep_conv_3x3', 1), ('sep_conv_7x7', 2), ('sep_conv_5x5', 0), ('sep_conv_7x7', 1), ('dil_conv_3x3', 2), ('dil_conv_5x5', 3), ('sep_conv_3x3', 0), ('skip_connect', 1), ('sep_conv_3x3', 2), ('max_pool_3x3', 3), ('conv_7x1_1x7', 4)], 'normal_concat': [3, 4, 5, 3], 'reduction_concat': [4, 4, 5, 5]}, value: 4434416063861.87
cnt: 301, current best arch: {'normal': [('skip_connect', 0), ('max_pool_3x3', 1), ('conv_7x1_1x7', 0), ('dil_conv_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 0), ('dil_conv_5x5', 1), ('sep_conv_7x7', 2), ('skip_connect', 3), ('skip_connect', 0), ('avg_pool_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 3), ('skip_connect', 4)], 'reduction': [('avg_pool_3x3', 0), ('conv_7x1_1x7', 1), ('max_pool_3x3', 0), ('sep_conv_3x3', 1), ('sep_conv_7x7', 2), ('sep_conv_5x5', 0), ('sep_conv_7x7', 1), ('dil_conv_3x3', 2), ('dil_conv_5x5', 3), ('sep_conv_3x3', 0), ('skip_connect', 1), ('sep_conv_3x3', 2), ('max_pool_3x3', 3), ('conv_7x1_1x7', 4)], 'normal_concat': [3, 4, 5, 3], 'reduction_concat': [4, 4, 5, 5]}, value: 4434416063861.87
cnt: 321, current best arch: {'normal': [('skip_connect', 0), ('max_pool_3x3', 1), ('conv_7x1_1x7', 0), ('dil_conv_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 0), ('dil_conv_5x5', 1), ('sep_conv_7x7', 2), ('skip_connect', 3), ('skip_connect', 0), ('avg_pool_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 3), ('skip_connect', 4)], 'reduction': [('avg_pool_3x3', 0), ('conv_7x1_1x7', 1), ('max_pool_3x3', 0), ('sep_conv_3x3', 1), ('sep_conv_7x7', 2), ('sep_conv_5x5', 0), ('sep_conv_7x7', 1), ('dil_conv_3x3', 2), ('dil_conv_5x5', 3), ('sep_conv_3x3', 0), ('skip_connect', 1), ('sep_conv_3x3', 2), ('max_pool_3x3', 3), ('conv_7x1_1x7', 4)], 'normal_concat': [3, 4, 5, 3], 'reduction_concat': [4, 4, 5, 5]}, value: 4434416063861.87
cnt: 341, current best arch: {'normal': [('skip_connect', 0), ('max_pool_3x3', 1), ('conv_7x1_1x7', 0), ('dil_conv_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 0), ('dil_conv_5x5', 1), ('sep_conv_7x7', 2), ('skip_connect', 3), ('skip_connect', 0), ('avg_pool_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 3), ('skip_connect', 4)], 'reduction': [('avg_pool_3x3', 0), ('conv_7x1_1x7', 1), ('max_pool_3x3', 0), ('sep_conv_3x3', 1), ('sep_conv_7x7', 2), ('sep_conv_5x5', 0), ('sep_conv_7x7', 1), ('dil_conv_3x3', 2), ('dil_conv_5x5', 3), ('sep_conv_3x3', 0), ('skip_connect', 1), ('sep_conv_3x3', 2), ('max_pool_3x3', 3), ('conv_7x1_1x7', 4)], 'normal_concat': [3, 4, 5, 3], 'reduction_concat': [4, 4, 5, 5]}, value: 4434416063861.87
cnt: 361, current best arch: {'normal': [('skip_connect', 0), ('max_pool_3x3', 1), ('conv_7x1_1x7', 0), ('dil_conv_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 0), ('dil_conv_5x5', 1), ('sep_conv_7x7', 2), ('skip_connect', 3), ('skip_connect', 0), ('avg_pool_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 3), ('skip_connect', 4)], 'reduction': [('avg_pool_3x3', 0), ('conv_7x1_1x7', 1), ('max_pool_3x3', 0), ('sep_conv_3x3', 1), ('sep_conv_7x7', 2), ('sep_conv_5x5', 0), ('sep_conv_7x7', 1), ('dil_conv_3x3', 2), ('dil_conv_5x5', 3), ('sep_conv_3x3', 0), ('skip_connect', 1), ('sep_conv_3x3', 2), ('max_pool_3x3', 3), ('conv_7x1_1x7', 4)], 'normal_concat': [3, 4, 5, 3], 'reduction_concat': [4, 4, 5, 5]}, value: 4434416063861.87
cnt: 381, current best arch: {'normal': [('skip_connect', 0), ('max_pool_3x3', 1), ('conv_7x1_1x7', 0), ('dil_conv_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 0), ('dil_conv_5x5', 1), ('sep_conv_7x7', 2), ('skip_connect', 3), ('skip_connect', 0), ('avg_pool_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 3), ('skip_connect', 4)], 'reduction': [('avg_pool_3x3', 0), ('conv_7x1_1x7', 1), ('max_pool_3x3', 0), ('sep_conv_3x3', 1), ('sep_conv_7x7', 2), ('sep_conv_5x5', 0), ('sep_conv_7x7', 1), ('dil_conv_3x3', 2), ('dil_conv_5x5', 3), ('sep_conv_3x3', 0), ('skip_connect', 1), ('sep_conv_3x3', 2), ('max_pool_3x3', 3), ('conv_7x1_1x7', 4)], 'normal_concat': [3, 4, 5, 3], 'reduction_concat': [4, 4, 5, 5]}, value: 4434416063861.87
cnt: 401, current best arch: {'normal': [('skip_connect', 0), ('max_pool_3x3', 1), ('conv_7x1_1x7', 0), ('dil_conv_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 0), ('dil_conv_5x5', 1), ('sep_conv_7x7', 2), ('skip_connect', 3), ('skip_connect', 0), ('avg_pool_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 3), ('skip_connect', 4)], 'reduction': [('avg_pool_3x3', 0), ('conv_7x1_1x7', 1), ('max_pool_3x3', 0), ('sep_conv_3x3', 1), ('sep_conv_7x7', 2), ('sep_conv_5x5', 0), ('sep_conv_7x7', 1), ('dil_conv_3x3', 2), ('dil_conv_5x5', 3), ('sep_conv_3x3', 0), ('skip_connect', 1), ('sep_conv_3x3', 2), ('max_pool_3x3', 3), ('conv_7x1_1x7', 4)], 'normal_concat': [3, 4, 5, 3], 'reduction_concat': [4, 4, 5, 5]}, value: 4434416063861.87
cnt: 421, current best arch: {'normal': [('skip_connect', 0), ('max_pool_3x3', 1), ('conv_7x1_1x7', 0), ('dil_conv_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 0), ('dil_conv_5x5', 1), ('sep_conv_7x7', 2), ('skip_connect', 3), ('skip_connect', 0), ('avg_pool_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 3), ('skip_connect', 4)], 'reduction': [('avg_pool_3x3', 0), ('conv_7x1_1x7', 1), ('max_pool_3x3', 0), ('sep_conv_3x3', 1), ('sep_conv_7x7', 2), ('sep_conv_5x5', 0), ('sep_conv_7x7', 1), ('dil_conv_3x3', 2), ('dil_conv_5x5', 3), ('sep_conv_3x3', 0), ('skip_connect', 1), ('sep_conv_3x3', 2), ('max_pool_3x3', 3), ('conv_7x1_1x7', 4)], 'normal_concat': [3, 4, 5, 3], 'reduction_concat': [4, 4, 5, 5]}, value: 4434416063861.87
cnt: 441, current best arch: {'normal': [('skip_connect', 0), ('max_pool_3x3', 1), ('conv_7x1_1x7', 0), ('dil_conv_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 0), ('dil_conv_5x5', 1), ('sep_conv_7x7', 2), ('skip_connect', 3), ('skip_connect', 0), ('avg_pool_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 3), ('skip_connect', 4)], 'reduction': [('avg_pool_3x3', 0), ('conv_7x1_1x7', 1), ('max_pool_3x3', 0), ('sep_conv_3x3', 1), ('sep_conv_7x7', 2), ('sep_conv_5x5', 0), ('sep_conv_7x7', 1), ('dil_conv_3x3', 2), ('dil_conv_5x5', 3), ('sep_conv_3x3', 0), ('skip_connect', 1), ('sep_conv_3x3', 2), ('max_pool_3x3', 3), ('conv_7x1_1x7', 4)], 'normal_concat': [3, 4, 5, 3], 'reduction_concat': [4, 4, 5, 5]}, value: 4434416063861.87
cnt: 461, current best arch: {'normal': [('skip_connect', 0), ('max_pool_3x3', 1), ('conv_7x1_1x7', 0), ('dil_conv_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 0), ('dil_conv_5x5', 1), ('sep_conv_7x7', 2), ('skip_connect', 3), ('skip_connect', 0), ('avg_pool_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 3), ('skip_connect', 4)], 'reduction': [('avg_pool_3x3', 0), ('conv_7x1_1x7', 1), ('max_pool_3x3', 0), ('sep_conv_3x3', 1), ('sep_conv_7x7', 2), ('sep_conv_5x5', 0), ('sep_conv_7x7', 1), ('dil_conv_3x3', 2), ('dil_conv_5x5', 3), ('sep_conv_3x3', 0), ('skip_connect', 1), ('sep_conv_3x3', 2), ('max_pool_3x3', 3), ('conv_7x1_1x7', 4)], 'normal_concat': [3, 4, 5, 3], 'reduction_concat': [4, 4, 5, 5]}, value: 4434416063861.87
cnt: 481, current best arch: {'normal': [('skip_connect', 0), ('max_pool_3x3', 1), ('conv_7x1_1x7', 0), ('dil_conv_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 0), ('dil_conv_5x5', 1), ('sep_conv_7x7', 2), ('skip_connect', 3), ('skip_connect', 0), ('avg_pool_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 3), ('skip_connect', 4)], 'reduction': [('avg_pool_3x3', 0), ('conv_7x1_1x7', 1), ('max_pool_3x3', 0), ('sep_conv_3x3', 1), ('sep_conv_7x7', 2), ('sep_conv_5x5', 0), ('sep_conv_7x7', 1), ('dil_conv_3x3', 2), ('dil_conv_5x5', 3), ('sep_conv_3x3', 0), ('skip_connect', 1), ('sep_conv_3x3', 2), ('max_pool_3x3', 3), ('conv_7x1_1x7', 4)], 'normal_concat': [3, 4, 5, 3], 'reduction_concat': [4, 4, 5, 5]}, value: 4434416063861.87
cnt: 501, current best arch: {'normal': [('skip_connect', 0), ('max_pool_3x3', 1), ('conv_7x1_1x7', 0), ('dil_conv_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 0), ('dil_conv_5x5', 1), ('sep_conv_7x7', 2), ('skip_connect', 3), ('skip_connect', 0), ('avg_pool_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 3), ('skip_connect', 4)], 'reduction': [('avg_pool_3x3', 0), ('conv_7x1_1x7', 1), ('max_pool_3x3', 0), ('sep_conv_3x3', 1), ('sep_conv_7x7', 2), ('sep_conv_5x5', 0), ('sep_conv_7x7', 1), ('dil_conv_3x3', 2), ('dil_conv_5x5', 3), ('sep_conv_3x3', 0), ('skip_connect', 1), ('sep_conv_3x3', 2), ('max_pool_3x3', 3), ('conv_7x1_1x7', 4)], 'normal_concat': [3, 4, 5, 3], 'reduction_concat': [4, 4, 5, 5]}, value: 4434416063861.87
cnt: 521, current best arch: {'normal': [('skip_connect', 0), ('max_pool_3x3', 1), ('conv_7x1_1x7', 0), ('dil_conv_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 0), ('dil_conv_5x5', 1), ('sep_conv_7x7', 2), ('skip_connect', 3), ('skip_connect', 0), ('avg_pool_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 3), ('skip_connect', 4)], 'reduction': [('avg_pool_3x3', 0), ('conv_7x1_1x7', 1), ('max_pool_3x3', 0), ('sep_conv_3x3', 1), ('sep_conv_7x7', 2), ('sep_conv_5x5', 0), ('sep_conv_7x7', 1), ('dil_conv_3x3', 2), ('dil_conv_5x5', 3), ('sep_conv_3x3', 0), ('skip_connect', 1), ('sep_conv_3x3', 2), ('max_pool_3x3', 3), ('conv_7x1_1x7', 4)], 'normal_concat': [3, 4, 5, 3], 'reduction_concat': [4, 4, 5, 5]}, value: 4434416063861.87
cnt: 541, current best arch: {'normal': [('skip_connect', 0), ('max_pool_3x3', 1), ('conv_7x1_1x7', 0), ('dil_conv_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 0), ('dil_conv_5x5', 1), ('sep_conv_7x7', 2), ('skip_connect', 3), ('skip_connect', 0), ('avg_pool_3x3', 1), ('max_pool_3x3', 2), ('max_pool_3x3', 3), ('skip_connect', 4)], 'reduction': [('avg_pool_3x3', 0), ('conv_7x1_1x7', 1), ('max_pool_3x3', 0), ('sep_conv_3x3', 1), ('sep_conv_7x7', 2), ('sep_conv_5x5', 0), ('sep_conv_7x7', 1), ('dil_conv_3x3', 2), ('dil_conv_5x5', 3), ('sep_conv_3x3', 0), ('skip_connect', 1), ('sep_conv_3x3', 2), ('max_pool_3x3', 3), ('conv_7x1_1x7', 4)], 'normal_concat': [3, 4, 5, 3], 'reduction_concat': [4, 4, 5, 5]}, value: 4434416063861.87
