17 | epoch 17 | train/clean/loss 0.9795062969970703 | train/clean/top1 67.134 | train/clean/top5 96.588 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.2168216514587402 | valid/clean/top1 58.84 | valid/clean/top5 94.45 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 62.72 | 
18 | epoch 18 | train/clean/loss 0.9672060533332825 | train/clean/top1 67.512 | train/clean/top5 96.594 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.3638969282150268 | valid/clean/top1 54.37 | valid/clean/top5 90.6 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 62.72 | 
19 | epoch 19 | train/clean/loss 0.967800785369873 | train/clean/top1 67.816 | train/clean/top5 96.57 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.4880792768478392 | valid/clean/top1 52.03 | valid/clean/top5 88.43 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 62.72 | 
20 | epoch 20 | train/clean/loss 0.9637776739501953 | train/clean/top1 67.67 | train/clean/top5 96.75 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.5439667282104492 | valid/clean/top1 49.07 | valid/clean/top5 88.7 | valid/adv/loss 3.200744960021973 | valid/adv/top1 12.77 | valid/adv/top5 64.39 | valid/adv/best 16.18 | valid/clean/best 62.72 | 
21 | epoch 21 | train/clean/loss 0.9681323933029174 | train/clean/top1 67.614 | train/clean/top5 96.58 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.1547420852661132 | valid/clean/top1 59.36 | valid/clean/top5 95.4 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 62.72 | 
22 | epoch 22 | train/clean/loss 0.9661912352752685 | train/clean/top1 67.952 | train/clean/top5 96.68 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.4057457210540771 | valid/clean/top1 52.56 | valid/clean/top5 91.39 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 62.72 | 
23 | epoch 23 | train/clean/loss 0.9718419432067871 | train/clean/top1 67.422 | train/clean/top5 96.716 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.2030845787048339 | valid/clean/top1 58.22 | valid/clean/top5 93.71 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 62.72 | 
24 | epoch 24 | train/clean/loss 0.9680368980026245 | train/clean/top1 67.646 | train/clean/top5 96.542 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.3160891580581664 | valid/clean/top1 57.23 | valid/clean/top5 91.77 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 62.72 | 
25 | epoch 25 | train/clean/loss 0.9600523169708252 | train/clean/top1 67.772 | train/clean/top5 96.66 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.4431788295745849 | valid/clean/top1 51.9 | valid/clean/top5 91.6 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 62.72 | 
26 | epoch 26 | train/clean/loss 0.9606984014892578 | train/clean/top1 68.026 | train/clean/top5 96.738 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.1728957853317261 | valid/clean/top1 61.15 | valid/clean/top5 95.06 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 62.72 | 
27 | epoch 27 | train/clean/loss 0.9565072156524658 | train/clean/top1 68.06 | train/clean/top5 96.708 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.6657980543136597 | valid/clean/top1 44.91 | valid/clean/top5 89.37 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 62.72 | 
28 | epoch 28 | train/clean/loss 0.9618342232131958 | train/clean/top1 67.788 | train/clean/top5 96.686 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.1187155221939087 | valid/clean/top1 62.84 | valid/clean/top5 95.17 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 62.84 | 
29 | epoch 29 | train/clean/loss 0.9581324291610718 | train/clean/top1 68.138 | train/clean/top5 96.748 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.316265086555481 | valid/clean/top1 56.88 | valid/clean/top5 91.85 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 62.84 | 
30 | epoch 30 | train/clean/loss 0.9597132590484619 | train/clean/top1 67.828 | train/clean/top5 96.612 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.250748839378357 | valid/clean/top1 57.61 | valid/clean/top5 94.75 | valid/adv/loss 3.6242559379577637 | valid/adv/top1 11.58 | valid/adv/top5 66.56 | valid/adv/best 16.18 | valid/clean/best 62.84 | 
31 | epoch 31 | train/clean/loss 0.9615173015975952 | train/clean/top1 67.83 | train/clean/top5 96.698 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.390768112564087 | valid/clean/top1 53.87 | valid/clean/top5 91.23 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 62.84 | 
32 | epoch 32 | train/clean/loss 0.9581934836196899 | train/clean/top1 68.032 | train/clean/top5 96.71 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.5144100875854491 | valid/clean/top1 52.85 | valid/clean/top5 92.43 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 62.84 | 
33 | epoch 33 | train/clean/loss 0.9549204961776734 | train/clean/top1 68.126 | train/clean/top5 96.758 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.3343340356826783 | valid/clean/top1 55.63 | valid/clean/top5 94.69 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 62.84 | 
34 | epoch 34 | train/clean/loss 0.9555761632537841 | train/clean/top1 68.054 | train/clean/top5 96.556 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.5131265483856202 | valid/clean/top1 50.63 | valid/clean/top5 92.8 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 62.84 | 
35 | epoch 35 | train/clean/loss 0.9580818634223938 | train/clean/top1 67.93 | train/clean/top5 96.716 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.1171268276214599 | valid/clean/top1 61.3 | valid/clean/top5 94.91 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 62.84 | 
36 | epoch 36 | train/clean/loss 0.9541143179702759 | train/clean/top1 68.068 | train/clean/top5 96.806 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.2224741401672363 | valid/clean/top1 57.27 | valid/clean/top5 94.48 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 62.84 | 
37 | epoch 37 | train/clean/loss 0.9510507063293457 | train/clean/top1 68.238 | train/clean/top5 96.794 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.141938256263733 | valid/clean/top1 61.08 | valid/clean/top5 95.28 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 62.84 | 
38 | epoch 38 | train/clean/loss 0.9618431588363647 | train/clean/top1 67.444 | train/clean/top5 96.714 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.190177582359314 | valid/clean/top1 60.31 | valid/clean/top5 93.03 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 62.84 | 
39 | epoch 39 | train/clean/loss 0.9550179166030883 | train/clean/top1 67.96 | train/clean/top5 96.79 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.317514626121521 | valid/clean/top1 55.18 | valid/clean/top5 93.84 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 62.84 | 
40 | epoch 40 | train/clean/loss 0.9535853562736512 | train/clean/top1 68.404 | train/clean/top5 96.64 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.5109016691207886 | valid/clean/top1 51.86 | valid/clean/top5 91.9 | valid/adv/loss 3.9293168567657473 | valid/adv/top1 11.1 | valid/adv/top5 67.73 | valid/adv/best 16.18 | valid/clean/best 62.84 | 
