1 | epoch 1 | train/clean/loss 1.6598808292007445 | train/clean/top1 38.086 | train/clean/top5 88.964 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.572018607902527 | valid/clean/top1 40.49 | valid/clean/top5 91.06 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 0.0 | valid/clean/best 40.49 | 
2 | epoch 2 | train/clean/loss 1.4303286249160767 | train/clean/top1 48.494 | train/clean/top5 92.954 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.596953046798706 | valid/clean/top1 42.72 | valid/clean/top5 90.24 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 0.0 | valid/clean/best 42.72 | 
3 | epoch 3 | train/clean/loss 1.3060426036834716 | train/clean/top1 53.652 | train/clean/top5 94.21 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.590964204788208 | valid/clean/top1 45.1 | valid/clean/top5 88.89 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 0.0 | valid/clean/best 45.1 | 
4 | epoch 4 | train/clean/loss 1.2343142527770996 | train/clean/top1 56.93 | train/clean/top5 94.958 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.244718978881836 | valid/clean/top1 56.83 | valid/clean/top5 95.78 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 0.0 | valid/clean/best 56.83 | 
5 | epoch 5 | train/clean/loss 1.195478995513916 | train/clean/top1 58.38 | train/clean/top5 95.248 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.63528967628479 | valid/clean/top1 42.67 | valid/clean/top5 92.72 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 0.0 | valid/clean/best 56.83 | 
6 | epoch 6 | train/clean/loss 1.171083781929016 | train/clean/top1 59.592 | train/clean/top5 95.336 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.6904188274383545 | valid/clean/top1 40.2 | valid/clean/top5 86.01 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 0.0 | valid/clean/best 56.83 | 
7 | epoch 7 | train/clean/loss 1.1492169282150269 | train/clean/top1 60.612 | train/clean/top5 95.672 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.2691357137680053 | valid/clean/top1 54.16 | valid/clean/top5 93.73 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 0.0 | valid/clean/best 56.83 | 
8 | epoch 8 | train/clean/loss 1.117224878730774 | train/clean/top1 61.72 | train/clean/top5 95.798 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.2732682229995727 | valid/clean/top1 56.38 | valid/clean/top5 92.78 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 0.0 | valid/clean/best 56.83 | 
9 | epoch 9 | train/clean/loss 1.1004706951141356 | train/clean/top1 62.11 | train/clean/top5 95.988 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.3227456001281739 | valid/clean/top1 53.32 | valid/clean/top5 92.58 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 0.0 | valid/clean/best 56.83 | 
10 | epoch 10 | train/clean/loss 1.09058776096344 | train/clean/top1 62.966 | train/clean/top5 95.958 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.2780824264526367 | valid/clean/top1 55.85 | valid/clean/top5 93.55 | valid/adv/loss 2.670971014404297 | valid/adv/top1 13.66 | valid/adv/top5 61.96 | valid/adv/best 13.66 | valid/clean/best 56.83 | 
11 | epoch 11 | train/clean/loss 1.0808118934249877 | train/clean/top1 63.498 | train/clean/top5 95.976 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.1349058753967285 | valid/clean/top1 61.68 | valid/clean/top5 96.0 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 13.66 | valid/clean/best 61.68 | 
